;PID;county;state;area;poptotal;popdensity;popwhite;popblack;popamerindian;popasian;popother;percwhite;percblack;percamerindan;percasian;percother;popadults;perchsd;percollege;percprof;poppovertyknown;percpovertyknown;percbelowpoverty;percchildbelowpovert;percadultpoverty;percelderlypoverty;inmetro;category
1;561;ADAMS;IL;0.052;66090;127.096.154;63917;1702;98;249;124;967.120.593;257.527.614;0.14828264;0.37675897;0.18762294;43298;751.073.953;196.313.918;435.585.939;63628;962.747.768;131.514.428;180.117.169;110.097.759;124.438.118;0;AAR
2;562;ALEXANDER;IL;0.014;10626;759;7054;3496;19;48;9;663.843.403;329.004.329;0.1788067;0.45172219;0.08469791;6724;597.263.534;112.433.076;287.031.529;10529;990.871.447;322.442.777;458.265.139;273.856.467;252.289.759;0;LHR
3;563;BOND;IL;0.022;14991;681.409.091;14477;429;35;16;34;965.712.761;286.171.703;0.23347342;0.10673071;0.22680275;9669;693.349.881;170.338.194;448.857.172;14235;949.569.742;120.688.444;14.036.061;1.085.209;1.269.741;0;AAR
4;564;BOONE;IL;0.017;30806;181.211.765;29344;127;46;150;1139;952.541.713;0.41225735;0.14932156;0.48691813;369.733.169;19272;754.721.876;172.789.539;419.779.992;30337;984.775.693;720.901.869;111.795.358;553.601.292;621.704.745;1;ALU
5;565;BROWN;IL;0.018;5836;324.222.222;5264;547;14;5;6;901.987.663;937.285.812;0.23989034;0.08567512;0.10281014;3979;68.861.523;14.475.999;336.768.032;4815;825.051.405;135.202.492;130.228.887;111.432.109;19.2;0;AAR
6;566;BUREAU;IL;0.05;35688;713.76;35157;50;65;195;221;985.121.049;0.14010312;0.18213405;0.54640215;0.61925577;23444;766.294.148;189.046.238;327.589.149;35107;983.720.018;103.996.354;141.588.185;817.928.731;110.085.864;0;AAR
7;567;CALHOUN;IL;0.017;5322;313.058.824;5298;1;8;15;0;995.490.417;0.01878993;0.15031943;0.28184893;0;3583;628.244.488;119.173.877;320.960.089;5241;984.780.158;151.497.806;137.877.614;129.323.308;210.852.713;0;LAR
8;568;CARROLL;IL;0.027;16805;622.407.407;16519;111;30;61;84;982.981.256;0.6605177;0.1785183;0.36298721;0.49985123;11323;759.516.029;161.971.209;305.572.728;16455;979.172.865;117.107.262;172.254.616;100.270.366;952.505.219;0;AAR
9;569;CASS;IL;0.024;13437;559.875;13384;16;8;23;6;996.055.667;0.1190742;0.0595371;0.17116916;0.04465282;8825;722.719.547;141.076.487;320.679.887;13081;973.505.991;13.875.086;179.947.841;119.143.432;136.601.796;0;AAR
10;570;CHAMPAIGN;IL;0.058;173025;298.318.966;146506;16559;331;8033;1596;846.733.131;957.029.331;0.19130183;464.268.169;0.92241006;95971;874.993.488;412.958.081;177.574.476;154934;895.442.855;155.724.373;141.322.336;175.627.276;81.050.169;1;HAU
11;571;CHRISTIAN;IL;0.042;34418;81.947.619;34176;82;51;89;20;992.968.795;0.23824743;0.14817828;0.25858562;0.05810913;22945;73.074.744;13.567.226;308.999.782;33788;981.695.624;117.082.988;163.206.125;956.969.969;114.906.408;0;AAR
12;572;CLARK;IL;0.03;15921;530.7;15842;10;26;36;7;995.038;0.06281012;0.16330632;0.22611645;0.04396709;10734;713.340.786;151.108.627;277.622.508;15615;980.780.102;120.076.849;153.215.475;101.317.752;125.954.198;0;AAR
13;573;CLAY;IL;0.028;14460;516.428.571;14403;4;17;29;7;996.058.091;0.02766252;0.1175657;0.20055325;0.04840941;9647;655.644.242;136.830.103;278.843.164;14248;985.338.866;167.742.841;205.825.776;144.641.142;176.700.783;0;LAR
14;574;CLINTON;IL;0.029;33944;117.048.276;32688;1021;48;104;83;962.997.879;300.789.536;0.14140938;0.30638699;0.24452039;21563;671.659.788;153.874.693;287.529.565;32190;948.326.656;102.236.719;132.994.025;925.383.422;832.317.604;1;LAU
15;575;COLES;IL;0.03;51644;172.146.667;50177;925;92;341;109;97.159.399;179.110.836;0.17814267;0.66028968;0.21106034;29136;76.105.162;251.750.412;814.456.343;45693;884.768.802;167.487.361;163.419.409;187.929.138;109.936.084;0;AAR
16;576;COOK;IL;0.058;5105067;880.183.966;3204947;1317147;10289;188565;384119;627.797.245;258.007.779;0.20154486;369.368.316;752.426.951;3291995;734.058.223;280.181.167;832.996.405;5023523;98.402.685;141.983.027;222.934.971;116.655.424;108.252.688;1;AAU
17;577;CRAWFORD;IL;0.026;19464;748.615.385;19300;63;34;48;19;991.574.188;0.32367448;0.17468146;0.24660912;0.09761611;13317;760.306.375;169.858.076;333.408.425;19123;982.480.477;105.370.496;13.809.825;887.024.273;108.033.875;0;AAR
18;578;CUMBERLAND;IL;0.02;10670;533.5;10627;5;6;26;6;995.970.009;0.04686036;0.05623243;0.24367385;0.05623243;6727;722.461.721;145.978.891;269.064.962;10590;992.502.343;120.491.029;136.031.851;98.222.638;152.846.257;0;AAR
19;579;DE KALB;IL;0.038;77932;205.084.211;72968;2069;123;1751;1021;936.303.444;265.487.861;0.1578299;224.683.057;131.011.651;41817;838.797.618;32.835.928;111.509.673;69127;887.016.887;135.446.352;867.823.765;170.474.188;645.390.792;1;HAU
20;580;DE WITT;IL;0.023;16516;718.086.957;16387;25;37;43;24;992.189.392;0.15136837;0.22402519;0.2603536;0.14531364;10941;746.458.276;161.959.601;330.865.552;16238;983.167.837;103.153.098;13.568.426;795.599.305;122.553.448;0;AAR
21;581;DOUGLAS;IL;0.025;19464;778.56;19280;16;19;41;108;99.054.665;0.08220304;0.09761611;0.21064529;0.55487053;12550;740.318.725;168.685.259;384.063.745;19140;983.353.884;962.904.911;132.935.431;792.479.531;871.436.256;0;AAR
22;582;DU PAGE;IL;0.02;781666;39083.3;714905;15462;962;39634;10703;914.591.398;197.808.271;0.12307047;507.045.209;13.692.549;502321;885.768.264;427.688.669;119.632.665;771641;987.174.829;271.473.392;294.525.227;239.906.403;383.824.912;1;HLU
23;583;EDGAR;IL;0.036;19595;544.305.556;19469;68;24;24;10;993.569.788;0.3470273;0.12248022;0.12248022;0.05103343;13082;735.208.684;168.399.327;367.680.783;19258;982.801.735;160.037.387;228.276.281;144.809.567;117.620.137;0;AAR
24;584;EDWARDS;IL;0.014;7440;531.428.571;7401;6;8;19;6;994.758.065;0.08064516;0.10752688;0.25537634;0.08064516;5019;696.752.341;169.356.446;245.068.739;7350;987.903.226;122.040.816;151.598.677;109.502.501;118.595.279;0;AAR
25;585;EFFINGHAM;IL;0.028;31704;113.228.571;31523;12;45;95;29;994.290.941;0.03785011;0.14193793;0.29964673;0.09147111;19477;749.550.752;202.751.964;37.839.503;31229;985.017.663;899.484.454;11.599.832;697.446.574;105.174.981;0;AAR
26;586;FAYETTE;IL;0.044;20893;474.840.909;20148;599;40;35;71;964.342.124;286.698.894;0.19145168;0.16752022;0.33982674;13894;687.922.844;136.029.941;298.690.082;19452;931.029.531;13.618.137;166.276.347;121.341.463;134.358.289;0;AAR
27;587;FORD;IL;0.03;14275;475.833.333;14157;43;14;40;21;9.917.338;0.30122592;0.09807356;0.28021016;0.14711033;9592;771.684.737;178.273.561;389.908.257;13860;970.928.196;926.406.926;135.712.279;732.528.768;878.740.157;0;AAR
28;588;FRANKLIN;IL;0.025;40319;1612.76;40068;36;106;84;25;993.774.647;0.08928793;0.26290335;0.2083385;0.06200551;27214;666.642.169;147.056.662;243.257.147;39703;984.721.843;20.764.174;31.074.742;193.135.372;136.794.859;0;LHR
29;589;FULTON;IL;0.052;38080;732.307.692;37117;668;83;105;107;974.711.134;175.420.168;0.21796218;0.27573529;0.28098739;25592;73.847.296;155.321.976;299.703.032;36393;955.698.529;15.494.738;228.122.252;139.965.731;110.196.033;0;AAR
30;590;GALLATIN;IL;0.019;6909;363.631.579;6842;42;10;11;4;990.302.504;0.60790274;0.14473875;0.15921262;0.0578955;4680;584.188.034;113.675.214;269.230.769;6737;975.104.936;214.338.726;297.246.558;20.005.596;162.300.319;0;LHR
31;591;GREENE;IL;0.033;15317;464.151.515;15231;14;50;17;5;994.385.323;0.09140171;0.32643468;0.11098779;0.03264347;10031;690.459.575;130.495.464;271.159.406;15096;985.571.587;155.339.163;200.300.827;13.444.049;149.431.818;0;AAR
32;592;GRUNDY;IL;0.026;32337;124.373.077;31864;21;45;113;294;985.372.793;0.06494109;0.13915948;0.34944491;0.90917525;20541;789.640.232;183.778.784;393.846.453;31979;988.929.091;66.168.423;693.047.172;532.733.914;104.620.084;1;ALU
33;593;HAMILTON;IL;0.025;8499;339.96;8462;3;11;21;2;995.646.547;0.03529827;0.12942699;0.24708789;0.02353218;5859;599.931.729;140.467.657;261.136.713;8383;986.351.335;198.496.958;219.232.686;170.501.332;231.419.671;0;LHR
34;594;HANCOCK;IL;0.047;21373;454.744.681;21272;26;25;37;13;995.274.412;0.12164881;0.11697001;0.17311561;0.0608244;14322;775.380.533;206.605.223;386.119.257;20943;979.881.158;117.843.671;146.202.065;982.946.027;129.152.053;0;AAR
35;595;HARDIN;IL;0.009;5189;576.555.556;5062;85;16;13;13;975.525.149;163.808.056;0.30834458;0.25052997;0.25052997;3492;597.365.407;143.184.422;260.595.647;4954;954.711.891;267.460.638;351.417.004;251.742.835;211.961.302;0;LHR
36;596;HENDERSON;IL;0.023;8096;352;8037;8;29;10;12;992.712.451;0.09881423;0.35820158;0.12351779;0.14822134;5467;73.349.186;137.735.504;217.669.654;8030;991.847.826;129.389.788;156.080.748;102.823.529;162.950.257;0;AAR
37;597;HENRY;IL;0.051;51159;100.311.765;49969;657;63;128;342;976.739.186;128.423.151;0.12314549;0.25020036;0.66850408;33423;771.953.445;187.236.334;422.164.378;50472;986.571.278;104.790.775;151.772.634;863.526.345;901.154.039;1;AAU
38;598;IROQUOIS;IL;0.067;30787;459.507.463;30154;164;43;69;357;979.439.374;0.53269237;0.13966934;0.22412057;115.958.034;20578;734.376.519;151.666.829;322.674.701;30189;980.576.217;919.871.476;116.762.716;79.592.631;910.027.978;0;AAR
