county;percother;popadults;perchsd;percollege;percprof;poppovertyknown;percpovertyknown;percbelowpoverty;percchildbelowpovert;percadultpoverty;percelderlypoverty;inmetro;category
ADAMS;0.18762294;43298;751.073.953;196.313.918;435.585.939;63628;962.747.768;131.514.428;180.117.169;110.097.759;124.438.118;0;AAR
ALEXANDER;0.08469791;6724;597.263.534;112.433.076;287.031.529;10529;990.871.447;322.442.777;458.265.139;273.856.467;252.289.759;0;LHR
BOND;0.22680275;9669;693.349.881;170.338.194;448.857.172;14235;949.569.742;120.688.444;14.036.061;1.085.209;1.269.741;0;AAR
BOONE;369.733.169;19272;754.721.876;172.789.539;419.779.992;30337;984.775.693;720.901.869;111.795.358;553.601.292;621.704.745;1;ALU
BROWN;0.10281014;3979;68.861.523;14.475.999;336.768.032;4815;825.051.405;135.202.492;130.228.887;111.432.109;19.2;0;AAR
BUREAU;0.61925577;23444;766.294.148;189.046.238;327.589.149;35107;983.720.018;103.996.354;141.588.185;817.928.731;110.085.864;0;AAR
CALHOUN;0;3583;628.244.488;119.173.877;320.960.089;5241;984.780.158;151.497.806;137.877.614;129.323.308;210.852.713;0;LAR
CARROLL;0.49985123;11323;759.516.029;161.971.209;305.572.728;16455;979.172.865;117.107.262;172.254.616;100.270.366;952.505.219;0;AAR
CASS;0.04465282;8825;722.719.547;141.076.487;320.679.887;13081;973.505.991;13.875.086;179.947.841;119.143.432;136.601.796;0;AAR
CHAMPAIGN;0.92241006;95971;874.993.488;412.958.081;177.574.476;154934;895.442.855;155.724.373;141.322.336;175.627.276;81.050.169;1;HAU
CHRISTIAN;0.05810913;22945;73.074.744;13.567.226;308.999.782;33788;981.695.624;117.082.988;163.206.125;956.969.969;114.906.408;0;AAR
CLARK;0.04396709;10734;713.340.786;151.108.627;277.622.508;15615;980.780.102;120.076.849;153.215.475;101.317.752;125.954.198;0;AAR
CLAY;0.04840941;9647;655.644.242;136.830.103;278.843.164;14248;985.338.866;167.742.841;205.825.776;144.641.142;176.700.783;0;LAR
CLINTON;0.24452039;21563;671.659.788;153.874.693;287.529.565;32190;948.326.656;102.236.719;132.994.025;925.383.422;832.317.604;1;LAU
COLES;0.21106034;29136;76.105.162;251.750.412;814.456.343;45693;884.768.802;167.487.361;163.419.409;187.929.138;109.936.084;0;AAR
COOK;752.426.951;3291995;734.058.223;280.181.167;832.996.405;5023523;98.402.685;141.983.027;222.934.971;116.655.424;108.252.688;1;AAU
CRAWFORD;0.09761611;13317;760.306.375;169.858.076;333.408.425;19123;982.480.477;105.370.496;13.809.825;887.024.273;108.033.875;0;AAR
CUMBERLAND;0.05623243;6727;722.461.721;145.978.891;269.064.962;10590;992.502.343;120.491.029;136.031.851;98.222.638;152.846.257;0;AAR
DE KALB;131.011.651;41817;838.797.618;32.835.928;111.509.673;69127;887.016.887;135.446.352;867.823.765;170.474.188;645.390.792;1;HAU
DE WITT;0.14531364;10941;746.458.276;161.959.601;330.865.552;16238;983.167.837;103.153.098;13.568.426;795.599.305;122.553.448;0;AAR
DOUGLAS;0.55487053;12550;740.318.725;168.685.259;384.063.745;19140;983.353.884;962.904.911;132.935.431;792.479.531;871.436.256;0;AAR
DU PAGE;13.692.549;502321;885.768.264;427.688.669;119.632.665;771641;987.174.829;271.473.392;294.525.227;239.906.403;383.824.912;1;HLU
EDGAR;0.05103343;13082;735.208.684;168.399.327;367.680.783;19258;982.801.735;160.037.387;228.276.281;144.809.567;117.620.137;0;AAR
EDWARDS;0.08064516;5019;696.752.341;169.356.446;245.068.739;7350;987.903.226;122.040.816;151.598.677;109.502.501;118.595.279;0;AAR
EFFINGHAM;0.09147111;19477;749.550.752;202.751.964;37.839.503;31229;985.017.663;899.484.454;11.599.832;697.446.574;105.174.981;0;AAR
FAYETTE;0.33982674;13894;687.922.844;136.029.941;298.690.082;19452;931.029.531;13.618.137;166.276.347;121.341.463;134.358.289;0;AAR
FORD;0.14711033;9592;771.684.737;178.273.561;389.908.257;13860;970.928.196;926.406.926;135.712.279;732.528.768;878.740.157;0;AAR
FRANKLIN;0.06200551;27214;666.642.169;147.056.662;243.257.147;39703;984.721.843;20.764.174;31.074.742;193.135.372;136.794.859;0;LHR
FULTON;0.28098739;25592;73.847.296;155.321.976;299.703.032;36393;955.698.529;15.494.738;228.122.252;139.965.731;110.196.033;0;AAR
GALLATIN;0.0578955;4680;584.188.034;113.675.214;269.230.769;6737;975.104.936;214.338.726;297.246.558;20.005.596;162.300.319;0;LHR
GREENE;0.03264347;10031;690.459.575;130.495.464;271.159.406;15096;985.571.587;155.339.163;200.300.827;13.444.049;149.431.818;0;AAR
GRUNDY;0.90917525;20541;789.640.232;183.778.784;393.846.453;31979;988.929.091;66.168.423;693.047.172;532.733.914;104.620.084;1;ALU
HAMILTON;0.02353218;5859;599.931.729;140.467.657;261.136.713;8383;986.351.335;198.496.958;219.232.686;170.501.332;231.419.671;0;LHR
HANCOCK;0.0608244;14322;775.380.533;206.605.223;386.119.257;20943;979.881.158;117.843.671;146.202.065;982.946.027;129.152.053;0;AAR
HARDIN;0.25052997;3492;597.365.407;143.184.422;260.595.647;4954;954.711.891;267.460.638;351.417.004;251.742.835;211.961.302;0;LHR
HENDERSON;0.14822134;5467;73.349.186;137.735.504;217.669.654;8030;991.847.826;129.389.788;156.080.748;102.823.529;162.950.257;0;AAR
HENRY;0.66850408;33423;771.953.445;187.236.334;422.164.378;50472;986.571.278;104.790.775;151.772.634;863.526.345;901.154.039;1;AAU
IROQUOIS;115.958.034;20578;734.376.519;151.666.829;322.674.701;30189;980.576.217;919.871.476;116.762.716;79.592.631;910.027.978;0;AAR
